id,heartbeat_signals,label
39,"-0.1281586663922421,-0.1264332037253088,-0.11448131476140294,-0.09811941241617694,-0.07651598102067059,-0.04967048200711299,-0.020957844105824797,0.015148472569112004,0.06344236077240972,0.1243948450840785,0.17802964540923383,0.21989279885044122,0.27210615291010964,0.3173484993766247,0.33937312601749525,0.34767765207758006,0.3504812243208102,0.3473352117421399,0.33857084402226945,0.3257694291060368,0.31498671949040613,0.30847185847272185,0.30452852365498784,0.3005745372484666,0.2990910245112012,0.2977235400329542,0.2956690836554797,0.29123409457107063,0.28305785173811293,0.27377277883308826,0.26223193137648515,0.2488683270509352,0.23621042437150874,0.22335913601544855,0.21057336495070667,0.19837145462646677,0.1861765835404614,0.1771038067445898,0.17106048584880262,0.16325749852623428,0.14862016567888348,0.12858971380652096,0.10381532542750949,0.07622281482407378,0.04607190197566813,0.014741985709495586,-0.010447522089050532,-0.02865446431487695,-0.0419681790438905,-0.05189544050451356,-0.057942678950537285,-0.06137128521879659,-0.06345276927431548,-0.06598496346576388,-0.06833362737732857,-0.07540408348390493,-0.08532655604727546,-0.09776856056668343,-0.10921679350829344,-0.11865822383108748,-0.1282125819366306,-0.13757981293161847,-0.14628836387003574,-0.15629460276160767,-0.16819745365586664,-0.18034561295166002,-0.19312541164136926,-0.2028556248732325,-0.20770694122068056,-0.21152933470774887,-0.2155686285949553,-0.21760193743888478,-0.21792788402719987,-0.2201714175943324,-0.22373734326900296,-0.228893416190033,-0.23325174805611643,-0.23815510448457988,-0.24456007366025878,-0.24585622045697741,-0.24067905016892166,-0.2297607191581919,-0.2147662872372919,-0.19918296847830963,-0.1852907927522448,-0.1751061842262452,-0.16580335432576787,-0.15811046130697098,-0.1510865764051309,-0.14551781315609863,-0.14093832894127978,-0.1539212710474871,-0.17068004371967116,-0.1709884231997582,-0.16115096578006027,-0.14551117299582267,-0.12794785412389703,-0.11138098462964718,-0.09605848526236915,-0.09145189159759226",0
25,"0.1816978235429405,0.24084313179897476,0.31098237201941015,0.35959317710874295,0.3837947878587231,0.39648447981223944,0.40319020867591293,0.406071269545916,0.40856411577422114,0.40789769681207755,0.40133296401485263,0.39251985197083483,0.3804211843524581,0.36810477597806046,0.3573008340043661,0.3457684058930268,0.3363141116158769,0.3284435602843918,0.31938414806293103,0.3081850445153528,0.2963854336473929,0.2819892704236412,0.2627414284503554,0.2416846459273776,0.22122586317622384,0.1992663796782148,0.18208702068259797,0.17149521727383288,0.1605561349419734,0.14658067739646852,0.1269600354573429,0.10067420145879924,0.06867225891264506,0.02916499685956553,-0.01454337422090668,-0.050672165045179574,-0.07915716206071743,-0.1087880166064108,-0.1377680130190131,-0.16530102283538062,-0.19968145653903102,-0.2375271233522045,-0.2654493649943277,-0.2771971985062749,-0.28294385415882695,-0.288735022518128,-0.29489909302549044,-0.29690180616147743,-0.2946604881540429,-0.28614461437245975,-0.2694200963330706,-0.25439300728817993,-0.2436486207190971,-0.23647171802441047,-0.23270420222743993,-0.22979367314818888,-0.22401104217692747,-0.21633018153959127,-0.20851264986025542,-0.20249787287575516,-0.19643168322340454,-0.18924504587766688,-0.1793599046947294,-0.16685571463867221,-0.15640724660966177,-0.1477357775706054,-0.14141149727625724,-0.136032356427505,-0.13155337832603298,-0.12911299189687697,-0.12761139302188895,-0.12349093167445702,-0.11794396922170125,-0.11401660329145336,-0.1121724532183137,-0.10983273016022643,-0.10619420346167541,-0.1007856232345532,-0.09740730355388316,-0.09403010025850422,-0.09037650408100073,-0.08682972301645764,-0.08290083125825332,-0.07859018406234708,-0.07483369896431724,-0.07033994556567191,-0.06690151503529362,-0.06589898434696129,-0.06269405253800575,-0.06280626478467766,-0.06127612184782927,-0.058157630434199525,-0.0557784852106491,-0.054182452520656454,-0.05257751082996864,-0.051345811470903335,-0.048812800519963284,-0.044876984377086204,-0.042748541027651576,-0.03866571863498436",0
26,"0.13282028905011278,0.18816374950059145,0.2182250007785418,0.24369350959586789,0.26965781287301216,0.29472010140984284,0.31032048118516475,0.3214076390941827,0.3342352934449101,0.3488119771723096,0.3628239360361599,0.3736870048990525,0.38331838254582906,0.3892212676684398,0.3908167515870097,0.3879163499310657,0.38289792058082195,0.3743832808665287,0.35970771685058023,0.34154965283353256,0.3226534666648997,0.30101812789768057,0.27640158401309134,0.2511781751573555,0.2283267921979475,0.2051843144450226,0.17480321536856658,0.1370434811370611,0.09177088472852879,0.035913183654822545,-0.028089278184827315,-0.09570061849654232,-0.15803441398548546,-0.20609726542207985,-0.24275982226313197,-0.2709554347513472,-0.29641494746495267,-0.3216555111639807,-0.34856257742390895,-0.37096505743512864,-0.3834403202724648,-0.384946359581241,-0.38053280309677096,-0.3768189869574987,-0.37463485477598146,-0.372995130826107,-0.3698070797518398,-0.36031420913400836,-0.3460552865774047,-0.3349826963463285,-0.3298212874343993,-0.3256174013695454,-0.3239861158007331,-0.3243667536854562,-0.32571547659837496,-0.32693952479710964,-0.3252995439048634,-0.32141875983999757,-0.31742474642359486,-0.3124922325959738,-0.3088692287084629,-0.3053662030410833,-0.3000978470267617,-0.29451476764760565,-0.2890095769371004,-0.28196991148815376,-0.2739414635699575,-0.26711115350361214,-0.2630473543502083,-0.2613787202831799,-0.26263007061152477,-0.26087087597558245,-0.2503697493848578,-0.24048032944424103,-0.23408789497851878,-0.22795413152982325,-0.22326928325612228,-0.2207580888297327,-0.21652298832211958,-0.20935874818256828,-0.19543265085977302,-0.1688392123017981,-0.10242965724969988,0.025582106111297742,0.1464788009073722,0.23007804447162017,0.2867331038907912,0.3264060263346591,0.3560345578587325,0.37917294481261066,0.3993317537162391,0.4174799077679927,0.43560034450208707,0.45207437024729236,0.467999732457424,0.4826237447234635,0.49577875759507917,0.5102341886976581,0.5242600792579611,0.546614597322756",0
43,"-0.0502179938181721,-0.06777428467505253,-0.07960159536929307,-0.08993848814267952,-0.09057330543001557,-0.08383636706580047,-0.07310875310414539,-0.0622218312454321,-0.048799861607245226,-0.03541707468623759,-0.023623871907584137,-0.011483691163026999,0.0005743385566591985,0.012903629826509083,0.025459498640294648,0.039004877173562755,0.05530234277014316,0.07570919899252265,0.09709320357455517,0.11663848958742198,0.1310274266995583,0.1402240752335449,0.15037562579378874,0.16654077153735145,0.1870227153861247,0.2101630103835709,0.23826524888571174,0.262878145150474,0.2772562068890226,0.28463529690277817,0.28448494154930853,0.28130768887876584,0.27667238972490477,0.2712858601890116,0.2655329203931775,0.25944992116805055,0.25187795971745364,0.24460790443354313,0.2375604011138908,0.2299616894045196,0.2233495841600813,0.21755083733293507,0.21102325189311286,0.2038397971278467,0.19524241324800043,0.1848011373263308,0.17263044790459314,0.16117643455855032,0.14829307977620826,0.13686545178783566,0.1263485872375084,0.11753963483638728,0.10856161297709507,0.09794133630570248,0.08310115939468224,0.06850859799378954,0.05656368016244427,0.04611007534847349,0.0361905806165759,0.02607036303628507,0.015323759254602665,0.002457252992010328,-0.012974102322515446,-0.03010259361566181,-0.04642466749222807,-0.06020380073135889,-0.07326634818677699,-0.0857981243610223,-0.09885344502743612,-0.11648312691766916,-0.1378968933057385,-0.16342468388522374,-0.19130100741016098,-0.2186133978130535,-0.2461136017626857,-0.2693127430412441,-0.2808158116343431,-0.2839853680762752,-0.28435948838200004,-0.2851133266476067,-0.2786059786945288,-0.2668545165668578,-0.25383215234828593,-0.24117692044660122,-0.22849104818485877,-0.2152894829471661,-0.2040195625441073,-0.19433596203450237,-0.19154157412930273,-0.19765065858593073,-0.20475136678355194,-0.20486402392482467,-0.1990673727588665,-0.19012582756026897,-0.1831654662738531,-0.1779796276547826,-0.1732611348835178,-0.16873432998167393,-0.16447624003918432,-0.1734419586569217",0
35,"-0.1009222101062468,-0.11218475946052897,-0.11240126359945912,-0.11278063779941516,-0.1138285173261595,-0.11480251007875464,-0.116678762453299,-0.11720973421136094,-0.11791403079851093,-0.11792294990156726,-0.11755927009452005,-0.11854809047820636,-0.11801187499456178,-0.11753951128273998,-0.11891571137055101,-0.12035731235340186,-0.12179050560074556,-0.12151748641338367,-0.12196458941971722,-0.12179108192101773,-0.12132164792957778,-0.12129551600048005,-0.12353789734700049,-0.12700134020317622,-0.13064611528919512,-0.13255956543607206,-0.13443564712281852,-0.1347200741179857,-0.13488680421639354,-0.1359279994577196,-0.13752813614261838,-0.1397565384416415,-0.14279178510518387,-0.14617802830523519,-0.1508750587156864,-0.15511937075939364,-0.1569717413967826,-0.15366487847987131,-0.14513864051231495,-0.13259902908239862,-0.11536895559353244,-0.09517536156011208,-0.07293823314178849,-0.0485767155783956,-0.018772387022064407,0.017367238827625142,0.05974852669677122,0.1046632555858138,0.1469819744981573,0.19229063230759125,0.23888431323626302,0.2811144140226791,0.30993200325858217,0.32586611598018567,0.3428793508502992,0.35706103797112854,0.3778918328159693,0.40379509142064074,0.4200645669804348,0.4227972381849956,0.42210926152155137,0.4169330636725752,0.4056600809716673,0.38778108557981694,0.3649391827218529,0.3418372172899471,0.320069465658132,0.2981002913912152,0.27490709188854545,0.2543283710366957,0.23544834985608287,0.21746406202704938,0.19811393051314563,0.17632557554756834,0.15210916035396504,0.12704729292840278,0.10106015719154549,0.07298426369514943,0.04467458020112791,0.01097915777675973,-0.027641926029484898,-0.06942590430619311,-0.11204269351544505,-0.15059857607739557,-0.185283715015635,-0.21091751052142937,-0.2263149683636445,-0.23195869989370066,-0.2351962751329868,-0.23575967334199577,-0.223732332841293,-0.20715810658135925,-0.19223054390020944,-0.17829979234282933,-0.16547045109414804,-0.1547232070497293,-0.1468298407239217,-0.14170786559986492,-0.13845752595216454,-0.14803134955488062",0
81,"-0.0157734009588113,-0.02674343042576277,-0.029998644946040987,-0.03055415824691643,-0.029550716820135214,-0.029885520874795457,-0.02898837465360682,-0.028418982963069883,-0.02743180626247055,-0.02893862834530969,-0.02887064691903518,-0.029016099773048865,-0.027832879144777056,-0.028289633094075395,-0.028224851070323798,-0.029144279374240245,-0.028706715350740097,-0.029364613036479525,-0.02871383137666328,-0.028389667489389758,-0.02694897960023157,-0.027411695371106326,-0.02649040466013508,-0.02630936673640738,-0.02558780777362335,-0.02631006284184112,-0.02568524430068031,-0.026236189465560944,-0.025923190603390545,-0.026161707290353053,-0.02478248996452237,-0.0248403111685489,-0.023971721664294066,-0.02318498196074037,-0.02036044491419231,-0.018386221510849676,-0.015441964644722805,-0.014591902581892136,-0.012310934334381685,-0.009409079093470663,-0.004375147928147971,0.0005747150447197313,0.007198736837835895,0.012538682311153515,0.019212948320761924,0.025978671868923442,0.03535782294279999,0.043974653971200706,0.05208547120798457,0.057002307526021756,0.06141174510587,0.06311583225730244,0.06372037235693817,0.06270421317174524,0.06347372358751491,0.06385059209285471,0.06545320068136418,0.06558512318546184,0.06470628473474171,0.05987524185104398,0.053790474020672274,0.04566402749076204,0.0385667875778668,0.031566979274213036,0.027479980191837505,0.022980875220066643,0.018965081148742513,0.014075054914499674,0.010659753756875556,0.006749654167656605,0.004060478356843422,0.0006165993823774585,-0.0012596467257743882,-0.0035106907414661492,-0.005042909385440719,-0.007289743120778347,-0.00726149784648511,-0.007533150913603404,-0.006955824982705305,-0.007597150739497849,-0.006965999141280932,-0.0074912879538322485,-0.006969233168989675,-0.006987640242144266,-0.006007094028145588,-0.0058434382444207955,-0.005159365107122671,-0.006057943002365729,-0.005802909007079915,-0.005605170794789505,-0.004179359276225814,-0.004146724289569637,-0.003725281306841133,-0.00490210736215646,-0.004908753097447871,-0.005030385672862181,-0.003075373042582097,-0.0020616354165796658,-0.001471189773999182,-0.0025978506396606704",1
61,"0.0022497373429852807,0.012961330691158679,0.0158854711865275,0.01619255712850043,0.014754455414029977,0.014932765808265192,0.0137709159471604,0.013416443993216731,0.011553552449850901,0.010509972083430075,0.009154874128524337,0.009908302943967051,0.00881739327722686,0.008593929714981297,0.006904896590395726,0.006202103998440567,0.004170024903868086,0.0034866845863823492,0.0024592533814287165,0.0026849947861031787,0.001142037360408743,0.0014921166138686104,0.0008753237183438678,0.0009080441197006905,-0.0007272553108830238,-0.0008106068944893075,-0.001679620005625715,-0.0011575345395935521,-0.001966024132302735,-0.0012350702080508036,-0.001725029361302699,-0.0007697722241917226,-0.001316520186884329,-0.0008731563491055638,-0.001373770436902344,-0.00030158371074939794,-0.0012115739318852015,-0.0012159516557455063,-0.0019549115245647286,-0.0005327293749490813,-0.00023429714534151103,0.0019991364178610915,0.0035820619993143232,0.007457377451064673,0.011782928317938257,0.01916541117442616,0.026136498691976318,0.03484858077525921,0.041168559557264395,0.04559840408655669,0.04621399284802319,0.04691457498434648,0.04426713399906124,0.04091248469147679,0.036242896011527304,0.03320946154210169,0.029662921136015985,0.027887321812820165,0.024601492779335654,0.022439199118726716,0.01892607908353039,0.016283687901680555,0.012704210925861492,0.01134368799797203,0.009189259147188267,0.008524028226761349,0.006580234767256332,0.00518480045475167,0.003210843580457201,0.004911050093141522,0.007279831776270562,0.010592780316797334,0.010084615539244002,0.008805053363146076,0.004901021784594839,0.0015248530959364182,-0.0030151898722379222,-0.0064972230938060704,-0.01166391987158022,-0.01574191007960435,-0.020670715675032536,-0.024056485238411085,-0.02860534064316722,-0.03127833846119055,-0.03486067608767751,-0.03688930685127678,-0.04035448948528275,-0.042125331232644836,-0.04481400960267701,-0.04618506766477015,-0.04889981228258433,-0.049299602907154405,-0.049934990259844714,-0.04938026242237337,-0.050928740459025956,-0.05041642724248252,-0.05015636292854486,-0.048142536852965545,-0.044208774813284446,-0.029952736598223062",1
49,"-0.03847874113385685,-0.05623034356546974,-0.06139081167229632,-0.06180985602430111,-0.05935130107229536,-0.05849620913240594,-0.0556201502963376,-0.05438235419148618,-0.051643391833014585,-0.051225660786288096,-0.04947625637741582,-0.0498138079646655,-0.04800382666087999,-0.047540489623707716,-0.045021277299419404,-0.044508021217863014,-0.04214867906791597,-0.041879380039213654,-0.03994754334199746,-0.0395085910026558,-0.03724051940364714,-0.03757925634971149,-0.03632718071912078,-0.03653855570284681,-0.0345466506184976,-0.033866535714171864,-0.03065637811122024,-0.02923246500607657,-0.026419835174509076,-0.026016645099039892,-0.024091894101818223,-0.02349065442381859,-0.02005729545781476,-0.017198599629478895,-0.010684746500578046,-0.0034454323751904603,0.010030337319078653,0.02914900958495048,0.05684313764187643,0.08221231638175797,0.10011348998551683,0.10626367007652215,0.10755092576022907,0.10318934055126483,0.09782634732296092,0.08851797691967411,0.0797654947641423,0.07000493742523817,0.06246309035083153,0.05300929881354233,0.045355765965176875,0.03761050890052464,0.03267704229869872,0.02644712226730017,0.022103046849305197,0.016936412901971898,0.013709303804382733,0.009171167082020815,0.0067490516132017175,0.003106684118407199,0.0012737881791140548,-0.0019164475292948735,-0.003002776628516446,-0.005033986207822916,-0.005577793012719434,-0.007354014260529507,-0.006477537603230554,-0.0068032484243398805,-0.00600245737213434,-0.006687691683973429,-0.004800791395635162,-0.0036102266047539633,-0.0006554936541417478,0.0016067911287451775,0.006429179742326707,0.008939067970725856,0.011015777269543281,0.010700740750019588,0.012069699341920481,0.01175311247297317,0.012794488699311546,0.012257950654237737,0.01302783026642984,0.011973125743348745,0.012763438703481622,0.011704088410120161,0.011575854539096375,0.009963259277443126,0.010235716119594063,0.008851903608127265,0.0090477683946113,0.008293311059322517,0.0090481382355182,0.007470989523316929,0.007370659307429306,0.006064038154109053,0.0066942236255411736,0.005171130925682443,0.0004240228750823638,-0.017533772607616793",1
54,"-0.04439946719771837,-0.04944480507706528,-0.05117073484198165,-0.052211969178698636,-0.05242626290588914,-0.052373956711555425,-0.05125170507603205,-0.051059922550535486,-0.050566292435271665,-0.049965660496244735,-0.04840522248320933,-0.04747979098213573,-0.045698710874287674,-0.04402227590341323,-0.04138665751767223,-0.03889423164259287,-0.03618450572590115,-0.034506895371616775,-0.0321817289215931,-0.02935129871973341,-0.025318336044280576,-0.022410288494371766,-0.020055600413050545,-0.018181168938775194,-0.015663574005212677,-0.013626393391981795,-0.011203775931534876,-0.009313339103174334,-0.006638404999665504,-0.00450280545884163,-0.00237195586308081,-0.0009345458291019071,0.000753222108166085,0.0018157350199605737,0.003427782700130777,0.004741060525940144,0.0058515263619087765,0.005927873730095623,0.006688663838759545,0.006875258157856612,0.008633056984916898,0.013266428145882081,0.023463246115480008,0.03682827049117643,0.04920040492543265,0.05701024678980393,0.06149996961008841,0.06211571112054459,0.0605201675567375,0.057216792186604026,0.05334792108378905,0.04874153122396674,0.04437683416642657,0.039857683598751414,0.03612647911398126,0.03233406188035781,0.02929251034230984,0.026680990555614237,0.024835475468575785,0.022700508879469172,0.020773017262086135,0.018291315191813817,0.016373829191678624,0.014784906146087184,0.013783714885371445,0.01234048598385562,0.010810064438212308,0.008806307041572481,0.007553037651609751,0.006193687545285265,0.004691514113386308,0.002951681209779622,0.0018343850508435455,0.0007521896584241627,0.0003746903796928436,-0.0002611180945999436,-0.00045113398513740854,-0.0007645524161601358,-0.0014469068847913213,-0.002973007163062924,-0.0033086326719764525,-0.0020780682785794813,0.0007927639198410663,0.0033268902629259856,0.005047728792538564,0.005616534323393374,0.0060134397600237754,0.006367442416043367,0.0072669656525765625,0.00802144803806093,0.008931592866321836,0.009474370676606725,0.010102705257317934,0.010358484427265058,0.010793602520774437,0.009545774316515931,0.007386235467722324,0.004818905875983548,-0.00042009743144033607,-0.013403322994387068",1
90,"-0.016285554248470557,-0.003350918272509773,0.0009033045211235269,0.0014502110000074175,-0.0009935880017684084,-0.0018100678959149796,-0.00339102763684318,-0.00354965035543664,-0.004993909297486887,-0.005164612215695197,-0.00651306807124552,-0.006741640788004766,-0.008100075707325072,-0.007170140062831898,-0.007845907706612198,-0.008181377000374912,-0.009847305207812962,-0.010361128238215223,-0.01219605117275524,-0.011503491415953526,-0.010907289574894286,-0.00917851694777383,-0.009319500509308742,-0.007788708462721505,-0.0072306639192922795,-0.005422403639538498,-0.004376477891481212,-0.0013097307243770118,0.00042110216611446205,0.0032631037771211346,0.0046951997740523055,0.007650203517871823,0.01030397063589028,0.017087265159025478,0.025702138064091606,0.036668851221706156,0.04727767654650705,0.06245831693969439,0.07826398118037181,0.09235989324567839,0.09926823223897108,0.1016544754668347,0.09807067963131022,0.09297706107092285,0.0859956736712344,0.07972961426484426,0.07184887584722421,0.06567583310700709,0.05935679944622407,0.05496322710388002,0.049005799689215035,0.04407283062694356,0.0384190706589802,0.034151965347020585,0.02870909778983366,0.024895888151298173,0.020532491901937622,0.01720585245394446,0.012541943301974445,0.009683917898346994,0.006225401754702098,0.003490591456773995,-0.000969648509319132,-0.004521883439504215,-0.009469222806748334,-0.013083061620763115,-0.01760013663570703,-0.021636356249266075,-0.027923428968910535,-0.03292728319328564,-0.03810247722639737,-0.04136159907593129,-0.0448427004983607,-0.04526379136162939,-0.04623595081443188,-0.046883279006598055,-0.04838269503432713,-0.04782249598209365,-0.047823159182837305,-0.04588235967743781,-0.04539955246919458,-0.044902034029304705,-0.046035511321837586,-0.0457003031009231,-0.04575220405386293,-0.04332302120309839,-0.041690442446049136,-0.03980660680435566,-0.03990225940186942,-0.03868864438412256,-0.03819851310863642,-0.035617680630765314,-0.033334163275108075,-0.030457846262841315,-0.029858798916724716,-0.02844663144393067,-0.0276586771881413,-0.02521538536314516,-0.023531369842059835,-0.01919656113450685",1
245,"-0.07646632273044845,-0.08265505352251645,-0.08754139938103012,-0.09023594196872314,-0.0920318597506932,-0.09369469547289641,-0.0957497150538516,-0.09863617847799486,-0.10161720451485401,-0.10209874408228192,-0.09725523019067997,-0.08660909531654909,-0.07278466855918572,-0.059704548305868216,-0.049709627194557515,-0.04245855662721423,-0.036702103925043,-0.0313360168710195,-0.02514987643138153,-0.01771410604747159,-0.009786300317299601,-0.0027014389452960086,0.002070940011738298,0.0039114977168906995,0.0037678002027262125,0.003280753040905582,0.003254255145404006,0.00329342326543397,0.0029105292186201726,0.002521103571781924,0.00315449328123385,0.005317195357690652,0.008601205373346965,0.012369407715012493,0.016235248154744142,0.019737362211284415,0.022080015223816973,0.022194866432669824,0.01917838508622277,0.012638071829177755,0.0023353953410998884,-0.011106440405663609,-0.023973804542860355,-0.029417511636674,-0.020631407516105205,0.005027996623015174,0.043117333631751575,0.08337449294402793,0.11625393301222309,0.13749195881136694,0.14585312256042124,0.13950678309958675,0.11706564844858558,0.08274949850458851,0.04739349927325803,0.020735069041869447,0.00541248108173914,0.0006897317312958284,0.008701380181857898,0.034354788285064164,0.07873227952712197,0.1342403791098846,0.1874438983646869,0.22554442864466911,0.24182276863769192,0.23828369246012315,0.22333649842312714,0.20550624535596657,0.18926340331029018,0.17567267216871602,0.16444843691929276,0.15459430929034168,0.14462898011857586,0.13381696555684014,0.12253025933432954,0.11070622442208689,0.09747427634368355,0.08206296353182954,0.06430891118785653,0.04485909852971817,0.024535335643294937,0.003731696998918621,-0.016869543541974008,-0.03623630811841835,-0.053855419699478935,-0.06958247097069592,-0.08373549532707453,-0.09728534422340135,-0.1112012906571645,-0.1261759079841916,-0.14199624812546618,-0.15766476660924472,-0.1728000581801229,-0.18778484212028862,-0.2027145903759366,-0.21711775322132637,-0.23085179153233387,-0.24376123277294853,-0.25458679554197144,-0.2621356824993148",2
170,"0.00925570903622952,0.007645416656937631,0.006541624549802061,0.005359154888569362,0.004236858649003472,0.0033556822080915705,0.0023447406343312938,0.0007473013714839327,-0.0013195117420283509,-0.003531203942031935,-0.005571919652682805,-0.00654840881248675,-0.006005707312539965,-0.004738867357550719,-0.00304642936974453,-0.0005483050123201438,0.002510261500347888,0.005708796215942086,0.009165432676574548,0.013124403835965581,0.017458076826853297,0.021925799364337306,0.02664096448037362,0.031640211240673094,0.036357474381037425,0.04059169327550202,0.0450978358217253,0.049976434301405,0.054210642349362265,0.057083356332522345,0.05845760788104934,0.058274480577032384,0.0567001174798602,0.05422403228450878,0.05093908800616401,0.04634929979597463,0.039967484383470586,0.03150105469660902,0.021096744828229264,0.009776574527000925,-0.0007389112066336079,-0.010177920945354135,-0.02098861195735452,-0.03597556010804581,-0.056377160703840856,-0.08247107248385327,-0.11444127149375544,-0.15307440997102334,-0.1980409943327669,-0.2442474241652719,-0.28269890133078374,-0.306177508889198,-0.3144237130448204,-0.31397941873044816,-0.30972610521271665,-0.29660789340536775,-0.262844679592973,-0.20147917223569695,-0.11822150134205495,-0.02784982784216783,0.054497434471819484,0.11793116132045117,0.15869460415122638,0.18170704248697445,0.19549213793226428,0.20560425664343474,0.21388250514715385,0.2208514403670398,0.2265597182769573,0.23023078887784038,0.23004293711422918,0.22439211597514902,0.21331826114028468,0.19785144967702267,0.17924221920026973,0.15881470714863366,0.13733003830383533,0.11485670902077516,0.09183625435800069,0.06968546149634042,0.049891120795381216,0.03332550729402706,0.019672496750448798,0.007498289807351954,-0.004181210700572091,-0.015192815216002686,-0.02506909272835517,-0.03404372302245462,-0.04267190628496509,-0.05098907219007476,-0.058461754369783014,-0.065009262063279,-0.07164552315039319,-0.07877579693604919,-0.08542378095498504,-0.09116713830905881,-0.09661252715305102,-0.10154627377686037,-0.10425391610753304,-0.10457680765496474",2
